country,MPI,lat,lon
Afghanistan,0.387,36.7347725,70.8119953
Afghanistan,0.466,35.1671339,63.7695384
Afghanistan,0.3,35.8042947,69.2877535
Afghanistan,0.301,36.7550603,66.8975372
Afghanistan,0.325,34.8100067,67.8212104
Afghanistan,0.313,33.669495,66.0463534
Afghanistan,0.319,32.4464635,62.1454133
Afghanistan,0.25,36.0795613,64.905955
Afghanistan,0.245,33.5450587,68.4173972
Afghanistan,0.384,34.0995776,64.905955
Afghanistan,0.261,31.3636474,63.9586111
Afghanistan,0.353,11.6155109,104.3791912
Afghanistan,0.293,36.8969692,65.6658568
Afghanistan,0.117,34.5553494,69.207486
Afghanistan,0.437,31.628871,65.7371749
Afghanistan,0.28,34.9810572,69.6214562
Afghanistan,0.296,33.3338472,69.9371673
Afghanistan,0.269,34.8465893,71.097317
Afghanistan,0.294,36.7285907,68.8680663
Afghanistan,0.369,34.6897687,70.1455805
Afghanistan,0.187,34.0145518,69.1923916
Afghanistan,0.287,34.1718313,70.6216794
Afghanistan,0.231,31.0261488,62.4504154
Afghanistan,0.611,35.3250223,70.9071236
Afghanistan,0.137,32.2645386,68.5247149
Afghanistan,0.218,33.706199,69.3831079
Afghanistan,0.12,35.5025772,69.9550338
Afghanistan,0.294,34.9630977,68.8108849
Afghanistan,0.35,35.9807296,67.5708536
Afghanistan,0.341,35.6707473,66.0463534
Afghanistan,0.361,36.6698013,69.4784541
Afghanistan,0.624,32.9271287,66.1415263
Afghanistan,0.34,34.3513494,68.2385339
Afghanistan,0.175,32.1918782,67.1894488
Albania,,,
Armenia,,,
Azerbaijan,,,
Burundi,0.164,-3.4146958,29.3598782
Burundi,0.501,-3.373056,29.918886
Burundi,0.473,9.0630743,7.464915
Burundi,0.499,-3.373056,29.918886
Burundi,0.422,14.6090537,121.0222565
Benin,0.528,10.9681093,2.7779813
Benin,0.454,10.7954931,1.6760691
Benin,0.278,6.6588391,2.2236667
Benin,0.351,9.5340864,2.7779813
Benin,0.292,13.718252,-2.302446
Benin,0.345,7.0035894,1.7538817
Benin,0.335,9.7191867,1.6760691
Benin,0.083,6.3806973,2.4406387
Benin,0.259,6.6607182,1.7538817
Benin,0.238,,
Benin,0.347,7.3445141,2.539603
Benin,0.334,7.3469268,2.0665197
Burkina Faso,0.591,8.8556838,7.179026
Burkina Faso,0.493,10.4072992,-4.5624426
Burkina Faso,0.207,12.3425897,-1.443469
Burkina Faso,0.58,11.5247674,-0.1494988
Burkina Faso,0.575,13.1724464,-0.9056623
Burkina Faso,0.554,11.8798466,-2.302446
Burkina Faso,0.513,11.5228911,-1.0586135
Burkina Faso,0.698,12.4365526,0.9056623
Burkina Faso,0.459,11.4942003,-4.2333355
Burkina Faso,0.581,,
Burkina Faso,0.524,12.2537648,-0.7532809
Burkina Faso,0.69,14.1000865,-0.1494988
Burkina Faso,0.655,10.4231493,-3.2583626
Bangladesh,0.224,22.7029212,90.3465971
Bangladesh,0.186,22.3475365,91.8123324
Bangladesh,0.174,23.810332,90.4125181
Bangladesh,0.156,22.845641,89.5403279
Bangladesh,0.192,24.3635886,88.6241351
Bangladesh,0.206,25.7438916,89.275227
Bangladesh,0.32,24.904539,91.8611011
Bosnia and Herzegovina,,,
Belize,0.026,18.4030802,-88.3967536
Belize,0.019,18.0842472,-88.5710266
Belize,0.005,30.7326622,31.7195459
Belize,0.013,16.8116631,-88.4016041
Belize,0.019,16.2491923,-88.864698
Belize,0.054,17.0984445,-88.9413865
Belize,0.005,17.4891317,-88.188656
"Bolivia, Plurinational State of",0.145,-20.0249144,-64.1478236
"Bolivia, Plurinational State of",0.077,-16.489689,-68.1192936
"Bolivia, Plurinational State of",0.105,-17.4139766,-66.1653224
"Bolivia, Plurinational State of",0.073,26.9373041,90.4879916
"Bolivia, Plurinational State of",0.168,,
"Bolivia, Plurinational State of",0.081,-21.5213825,-64.7280952
"Bolivia, Plurinational State of",0.043,-17.8145819,-63.1560853
"Bolivia, Plurinational State of",0.099,-14.3782747,-65.0957792
"Bolivia, Plurinational State of",0.087,-10.7988901,-66.9988011
Brazil,0.072,-9.0237964,-70.8119953
Brazil,0.042,-9.5713058,-36.7819505
Brazil,0.022,,
Brazil,0.044,-3.4168427,-65.8560646
Brazil,0.029,-12.579738,-41.7007272
Brazil,0.029,-21.3223397,-46.3694179
Brazil,0.008,-15.7997654,-47.8644715
Brazil,0.018,,
Brazil,0.017,,
Brazil,0.046,-8.7224084,125.5712576
Brazil,0.019,-12.6818712,-56.921099
Brazil,0.019,-20.7722295,-54.7851531
Brazil,0.021,-18.512178,-44.5550308
Brazil,0.016,,
Brazil,0.032,,
Brazil,0.035,,
Brazil,0.027,-8.8137173,-36.954107
Brazil,0.039,,
Brazil,0.03,-5.4025803,-36.954107
Brazil,0.012,-30.0346316,-51.2176986
Brazil,0.011,-22.9068467,-43.1728965
Brazil,0.024,-17.8251657,31.03351
Brazil,0.029,2.7375971,-62.0750998
Brazil,0.019,-27.2423392,-50.2188556
Brazil,0.034,-10.5740934,-37.3856581
Brazil,0.012,-23.5671844,-46.7387185
Brazil,0.03,-10.17528,-48.2982474
Barbados,,,
Bhutan,0.042,27.641839,90.6773046
Bhutan,0.121,27.0784304,89.4742177
Bhutan,0.222,27.0322861,89.8879304
Bhutan,0.059,27.2651669,89.1705998
Bhutan,0.151,27.8264989,91.135302
Bhutan,0.165,27.2617059,91.2891036
Bhutan,0.026,27.428684,89.4163654
Bhutan,0.128,27.98785,86.9250261
Bhutan,0.088,27.5920869,89.8797459
Bhutan,0.149,26.8035682,91.5039207
Bhutan,0.197,27.0291832,89.0561532
Bhutan,0.102,-2.5546618,29.6035495
Bhutan,0.016,27.4727924,89.6392863
Bhutan,0.132,27.3325014,91.5523435
Bhutan,0.121,-20.3446313,44.7006138
Bhutan,0.148,27.5002269,90.5080634
Bhutan,0.196,27.032207,90.1869644
Bhutan,0.099,27.4879018,89.8996196
Bhutan,0.184,27.076975,90.8294002
Central African Republic,0.403,5.1188825,18.4276047
Central African Republic,0.494,4.3525981,17.4795173
Central African Republic,0.497,8.154077,123.258793
Central African Republic,0.52,,
Central African Republic,0.505,15.341806,-84.6060449
Central African Republic,0.479,,
Central African Republic,0.533,7.090911,17.668887
Central African Republic,0.501,,
Central African Republic,0.419,,
Central African Republic,0.471,6.3168216,20.7122465
Central African Republic,0.42,7.7964379,23.3823545
Central African Republic,0.364,8.2733455,20.7122465
Central African Republic,0.544,4.8719319,21.2845025
Central African Republic,0.491,5.3561427,-3.9666402
Central African Republic,0.418,6.2537134,25.4733554
Central African Republic,0.197,4.3946735,18.5581899
China,0.008,42.4708101,-92.3578032
China,0.013,29.70534,-95.5483893
China,0.034,35.86166,104.195397
Cote d'Ivoire,0.359,-8.6529334,117.3616476
Cote d'Ivoire,0.297,,
Cote d'Ivoire,0.322,13.4540922,-16.6733441
Cote d'Ivoire,0.334,,
Cote d'Ivoire,0.477,5.361844,-4.0231596
Cote d'Ivoire,0.374,5.308613,-3.9468284
Cote d'Ivoire,0.518,7.7027827,-5.036833
Cote d'Ivoire,0.38,7.539989,-5.54708
Cote d'Ivoire,0.264,,
Cote d'Ivoire,0.394,4.7459773,-6.6143386
Cote d'Ivoire,0.109,5.3428333,-4.0264183
Cameroon,0.269,6.9181954,12.8054753
Cameroon,0.179,,
Cameroon,0.024,4.0510564,9.7678687
Cameroon,0.274,3.9505128,13.914399
Cameroon,0.54,,
Cameroon,0.091,4.0134386,9.7170073
Cameroon,0.458,8.5809013,13.914399
Cameroon,0.167,6.4703739,10.439656
Cameroon,0.146,5.4638158,10.8000051
Cameroon,0.131,2.7202832,11.7068294
Cameroon,0.129,5.1573493,9.3673084
Cameroon,0.026,,
"Congo, Democratic Republic of the",0.102,-4.4419311,15.2662931
"Congo, Democratic Republic of the",0.435,-4.163679,18.8076195
"Congo, Democratic Republic of the",0.393,-5.2365685,13.914399
"Congo, Democratic Republic of the",0.48,,
"Congo, Democratic Republic of the",0.49,,
"Congo, Democratic Republic of the",0.431,,
"Congo, Democratic Republic of the",0.4,-8.8851145,26.419389
"Congo, Democratic Republic of the",0.409,-3.0730929,26.0413889
"Congo, Democratic Republic of the",0.349,,
"Congo, Democratic Republic of the",0.401,1.6406296,26.419389
"Congo, Democratic Republic of the",0.462,-3.011658,28.299435
"Congo, Republic of",0.352,-4.1428413,11.8891721
"Congo, Republic of",0.238,5.4308921,7.5247243
"Congo, Republic of",0.323,,
"Congo, Republic of",0.274,,
"Congo, Republic of",0.299,-3.7762628,14.8454619
"Congo, Republic of",0.357,-2.0680088,15.4068079
"Congo, Republic of",0.246,-0.2877446,16.1580937
"Congo, Republic of",0.312,0.144755,14.4723301
"Congo, Republic of",0.285,1.4662328,15.4068079
"Congo, Republic of",0.304,2.043924,17.668887
"Congo, Republic of",0.103,18.8679349,-71.1225531
"Congo, Republic of",0.094,-4.7691623,11.866362
Colombia,0.056,10.7582091,-72.8451323
Colombia,0.009,11.0041072,-74.8069813
Colombia,0.012,12.5450153,-81.7075787
Colombia,0.061,8.5705151,8.3088441
Colombia,0.022,6.6437076,-73.6536209
Colombia,0.018,17.2317561,-13.1740348
Colombia,0.005,6.244203,-75.5812119
Colombia,0.037,6.244203,-75.5812119
Colombia,0.009,,
Colombia,0.027,,
Colombia,0.005,3.4516467,-76.5319854
Colombia,0.012,,
Colombia,0.039,,
Colombia,0.059,5.2954172,-3.9835142
Colombia,0.003,13.4595508,-15.5401101
Colombia,0.028,49.2647481,-122.7471312
Comoros,0.213,13.4929172,-16.0904721
Comoros,0.22,,
Comoros,0.116,-17.1927361,-70.9328138
Djibouti,0.125,11.825138,42.590275
Djibouti,0.214,,
Dominican Republic,0.028,,
Dominican Republic,0.047,4.695135,96.7493993
Dominican Republic,0.028,18.8679349,-71.1225531
Dominican Republic,0.03,18.8679349,-71.1225531
Dominican Republic,0.039,18.4296612,-68.675255
Dominican Republic,0.078,18.9771643,-69.3786383
Dominican Republic,0.055,18.4787964,-71.5961328
Dominican Republic,0.043,18.4901651,-69.9602108
Dominican Republic,0.028,18.4870314,-69.9379724
Dominican Republic,0.04,18.41386,-70.277748
Algeria,,,
Ecuador,0.014,-1.4693018,-78.8169396
Ecuador,0.01,34.352865,62.2040287
Ecuador,0.046,-3.4653053,-62.2158805
Ecuador,0.003,-0.2051725,-78.4896935
Egypt,0.006,30.0444196,31.2357116
Egypt,0.004,31.2000924,29.9187387
Egypt,0.003,10.9691601,20.7122465
Egypt,0.008,29.9668343,32.5498069
Egypt,0.011,31.4175388,31.8144434
Egypt,0.005,31.0832017,31.4913182
Egypt,0.01,,
Egypt,0.005,30.3292368,31.2168466
Egypt,0.006,31.1063198,30.9419751
Egypt,0.006,10.911057,-84.3172642
Egypt,0.008,41.2666667,69.2166667
Egypt,0.012,30.8480986,30.3435506
Egypt,0.009,30.5964923,32.2714587
Egypt,0.018,30.0130557,31.2088526
Egypt,0.017,29.0661274,31.0993845
Egypt,0.022,29.3084021,30.8428497
Egypt,0.022,28.0870967,30.7618397
Egypt,0.038,27.1783117,31.1859257
Egypt,0.035,26.5590737,31.6956705
Egypt,0.015,26.155061,32.7160121
Egypt,0.013,24.088938,32.8998293
Egypt,0.015,25.6872431,32.6396357
Egypt,0.015,25.1076838,33.7964613
Egypt,0.003,24.5455638,27.1735316
Egypt,0.036,6.8295019,-9.3673084
Ethiopia,0.537,14.0323336,38.3165725
Ethiopia,0.663,11.7559388,40.958688
Ethiopia,0.588,11.3494247,37.9784585
Ethiopia,0.592,7.5460377,40.6346851
Ethiopia,0.647,6.6612293,43.7908453
Ethiopia,0.584,10.7802889,35.5657862
Ethiopia,0.574,6.5156911,36.954107
Ethiopia,0.474,8.2471899,34.5915966
Ethiopia,0.333,9.314866,42.1967716
Ethiopia,0.085,8.9806034,38.7577605
Ethiopia,0.338,9.6008747,41.850142
Gabon,0.024,0.456963,9.409852
Gabon,0.063,0.456963,9.409852
Gabon,0.092,,
Gabon,0.138,,
Gabon,0.184,,
Gabon,0.16,-2.8821033,11.1617356
Gabon,0.076,,
Gabon,0.264,,
Gabon,0.152,,
Gabon,0.096,,
Ghana,0.101,6.7470436,-1.5208624
Ghana,0.16,7.9559247,-1.6760691
Ghana,0.171,5.5607846,-1.0586135
Ghana,0.155,31.2652893,32.3018661
Ghana,0.058,5.8142836,0.0746767
Ghana,0.382,9.5439269,-0.9056623
Ghana,0.289,10.7082499,-0.9820668
Ghana,0.259,10.2529757,-2.1450245
Ghana,0.138,6.5781373,0.4502368
Ghana,0.122,5.3901978,-2.1450245
Guinea,0.418,,
Guinea,0.122,9.6411855,-13.5784012
Guinea,0.599,10.0451022,-10.7492466
Guinea,0.603,10.3827887,-9.3118282
Guinea,0.503,10.0406725,-12.8629885
Guinea,0.554,,
Guinea,0.531,10.3785237,-12.0832543
Guinea,0.509,,
Gambia,0.095,13.4548761,-16.5790323
Gambia,0.157,14.6489525,2.1450245
Gambia,0.242,13.2747943,-16.6409198
Gambia,0.352,35.1408881,36.7551993
Gambia,0.397,,
Gambia,0.555,12.1844159,6.2375947
Gambia,0.46,13.5336211,-14.7695962
Gambia,0.524,13.3094412,-14.2192475
Guinea-Bissau,0.545,12.1735243,-14.652952
Guinea-Bissau,0.382,11.8529061,-15.7351171
Guinea-Bissau,0.352,11.5891108,-15.5122694
Guinea-Bissau,0.335,12.2732631,-16.1669156
Guinea-Bissau,0.544,11.8962488,-14.1001326
Guinea-Bissau,0.505,12.2760709,-15.3131185
Guinea-Bissau,0.414,11.795562,-15.1726816
Guinea-Bissau,0.43,11.3632696,-14.9856176
Guinea-Bissau,0.163,,
Guatemala,0.214,7.4952637,-10.0807298
Guatemala,0.147,15.0787498,-90.4125181
Guatemala,0.082,14.6631591,-90.8246386
Guatemala,0.2,14.7924897,-89.5450458
Guatemala,0.07,14.8921637,-90.0373201
Guatemala,0.067,14.3009252,-90.7881835
Guatemala,0.014,14.6349149,-90.5068824
Guatemala,0.036,14.5987203,-90.5149157
Guatemala,0.187,15.3198766,-91.4918235
Guatemala,0.106,15.5918066,-88.9413865
Guatemala,0.165,14.5655154,-89.9253233
Guatemala,0.113,14.1930802,-89.9253233
Guatemala,0.134,16.912033,-90.2995785
Guatemala,0.094,14.8520705,-91.5305465
Guatemala,0.193,15.4983808,-90.9820668
Guatemala,0.1,14.5245485,-91.685788
Guatemala,0.048,14.6110576,-90.7152749
Guatemala,0.123,-26.9827577,31.3541631
Guatemala,0.093,14.1928003,-90.3748354
Guatemala,0.09,14.7666085,-91.1785016
Guatemala,0.112,13.3198572,-87.1622344
Guatemala,0.121,14.9173402,-91.3613923
Guatemala,0.112,14.9676218,-89.5356094
Guyana,0.057,7.4882419,-59.6564494
Guyana,0.095,45.4786354,-122.640354
Guyana,0.004,,
Guyana,0.006,2.7477922,-57.4627259
Guyana,0.005,6.5720132,-58.4629997
Guyana,0.006,6.238496,-57.9162555
Guyana,0.014,7.1294166,-58.9206295
Guyana,0.004,5.3064879,-58.1892921
Guyana,0.145,2.9239595,-58.7373634
Honduras,0.045,,
Honduras,0.058,,
Honduras,0.077,14.4490149,-87.6482474
Honduras,0.161,11.7274729,-86.2158497
Honduras,0.026,,
Honduras,0.108,13.4726005,-86.4592091
Honduras,0.095,,
Honduras,0.031,,
Honduras,0.124,33.1870471,-4.2333355
Honduras,0.139,,
Honduras,0.017,,
Honduras,0.107,14.3271237,-87.6729074
Honduras,0.201,14.1887698,-88.556531
Honduras,0.109,14.5170347,-89.0561532
Honduras,0.089,14.8067406,-85.7666645
Honduras,0.076,,
Honduras,0.068,13.5782936,-87.5791287
Honduras,0.073,15.1369653,-87.1273253
Haiti,0.162,,
Haiti,0.307,27.6825285,91.4821482
Haiti,0.244,19.5687715,-72.189
Haiti,0.323,19.4889723,-71.8571331
Haiti,0.316,19.362902,-72.4258145
Haiti,0.391,18.9582742,-72.0468164
Haiti,0.249,18.3320005,-73.7007088
Haiti,0.378,18.5489259,-74.07701
Haiti,0.311,19.8374009,-73.0405277
Haiti,0.257,18.3990735,-73.4180211
Indonesia,0.077,12.4315534,-86.8722146
Indonesia,0.071,2.1153547,99.5450974
Indonesia,0.056,-0.7399397,100.8000051
Indonesia,0.053,0.2933469,101.7068294
Indonesia,0.072,-1.6101229,103.6131203
Indonesia,0.054,-3.3194374,103.914399
Indonesia,0.059,14.7546303,46.516262
Indonesia,0.065,-4.5585849,105.4068079
Indonesia,0.053,-2.7410513,106.4405872
Indonesia,0.041,3.9456514,108.1428669
Indonesia,0.029,-6.17511,106.8650395
Indonesia,0.057,-7.090911,107.668887
Indonesia,0.053,-7.150975,110.1402594
Indonesia,0.025,-7.8753849,110.4262088
Indonesia,0.055,-7.5360639,112.2384017
Indonesia,0.075,-6.4058172,106.0640179
Indonesia,0.042,-8.4095178,115.188916
Indonesia,0.121,-17.9646772,-67.1060353
Indonesia,0.164,-8.6573819,121.0793705
Indonesia,0.086,-0.2787808,111.4752851
Indonesia,0.084,-1.6814878,113.3823545
Indonesia,0.085,-3.0926415,115.2837585
Indonesia,0.058,0.5386586,116.419389
Indonesia,0.059,0.6246932,123.9750018
Indonesia,0.132,-1.4300254,121.4456179
Indonesia,0.063,-3.6687994,119.9740534
Indonesia,0.109,-4.14491,122.174605
Indonesia,0.128,0.6999372,122.4467238
Indonesia,0.161,34.5337527,43.483738
Indonesia,0.105,-2.8614979,129.5765974
Indonesia,0.129,1.5709993,127.8087693
Indonesia,0.122,-4.185235,136.8252838
Indonesia,0.234,-4.269928,138.0803529
India,,,
Iraq,0.031,36.8679054,42.9488574
Iraq,0.054,36.229574,42.2362435
Iraq,0.01,35.5570454,45.4359425
Iraq,0.035,35.4655761,44.3803921
Iraq,0.031,36.2062933,44.0088697
Iraq,0.038,33.7733487,45.1494505
Iraq,0.052,32.5597614,41.9196471
Iraq,0.027,33.3128057,44.3614875
Iraq,0.042,32.468191,44.5501935
Iraq,0.053,32.6068464,44.0103922
Iraq,0.058,32.6024094,45.7520985
Iraq,0.054,-0.9422027,-80.7303634
Iraq,0.055,32.027376,44.3331165
Iraq,0.082,32.043691,45.1494505
Iraq,0.079,-23.5819954,47.2923893
Iraq,0.06,31.1042292,46.3624686
Iraq,0.098,31.8734002,47.1362125
Iraq,0.045,30.5081033,47.7834888
Jamaica,0.009,18.0178743,-76.8099041
Jamaica,0.007,18.0391345,-76.7567368
Jamaica,0.006,17.9700261,-76.4331698
Jamaica,0.004,18.0844274,-76.4100267
Jamaica,0.009,18.3092711,-76.964306
Jamaica,0.004,27.002382,91.3469247
Jamaica,0.016,18.3526143,-77.6077865
Jamaica,0.003,18.3923184,-77.8595963
Jamaica,0.007,18.4097707,-78.133638
Jamaica,0.004,18.2944378,-78.1564432
Jamaica,0.013,18.0788461,-77.6994197
Jamaica,0.006,18.0669654,-77.5160788
Jamaica,0.014,,
Jamaica,0.004,18.0364134,-77.0564464
Jordan,0.005,31.957151,35.930865
Jordan,0.006,10.3009641,9.8236533
Jordan,0.008,40.5621704,-111.929658
Kazakhstan,,,
Kenya,0.075,-4.0627412,39.6771481
Kenya,0.242,-3.2096898,40.1169399
Kenya,0.19,0.7137256,35.517938
Kenya,0.02,-1.2920659,36.8219462
Kenya,0.509,-0.0190061,37.6480812
Kenya,0.211,-1.2849963,36.8272273
Kenya,0.205,-18.382333,47.2923893
Kenya,0.223,-0.115003,34.851379
Kyrgyzstan,,,
Cambodia,0.097,13.6672596,102.8975098
Cambodia,0.104,,
Cambodia,0.16,11.9924294,105.4645408
Cambodia,0.193,12.1392352,104.5655273
Cambodia,0.182,6.0673327,-59.6146737
Cambodia,0.183,-15.5997929,34.5140637
Cambodia,0.155,10.4790637,104.2941991
Cambodia,0.121,11.2237383,105.1258955
Cambodia,0.274,12.4896877,106.0287512
Cambodia,0.28,12.4534492,107.1771291
Cambodia,0.196,14.1717195,103.6362715
Cambodia,0.026,11.5448729,104.8921668
Cambodia,0.091,10.5669833,103.3039198
Cambodia,0.304,,
Cambodia,0.12,11.3802442,105.5005483
Cambodia,0.221,12.3663211,103.6362715
Cambodia,0.204,13.3670968,103.8448134
Cambodia,0.1,11.142722,105.8290298
Cambodia,0.106,10.9321519,104.798771
Lao People's Democratic Republic,0.012,17.9757058,102.6331035
Lao People's Democratic Republic,0.311,21.5919377,102.2547919
Lao People's Democratic Republic,0.165,20.9170187,101.1617356
Lao People's Democratic Republic,0.248,20.4921929,101.8891721
Lao People's Democratic Republic,0.212,20.2872662,100.7097867
Lao People's Democratic Republic,0.18,20.0656229,102.6216211
Lao People's Democratic Republic,0.184,14.4215982,-91.4048249
Lao People's Democratic Republic,0.079,19.1945799,101.483498
Lao People's Democratic Republic,0.164,19.6093003,103.7289167
Lao People's Democratic Republic,0.063,17.9757058,102.6331035
Lao People's Democratic Republic,0.063,18.4362924,104.4723301
Lao People's Democratic Republic,0.2,17.6384066,105.2194808
Lao People's Democratic Republic,0.262,16.5722464,104.7705509
Lao People's Democratic Republic,0.359,15.8171073,106.2522143
Lao People's Democratic Republic,0.254,15.5767446,107.0067031
Lao People's Democratic Republic,0.149,14.6578664,105.9699878
